sample,size,proportion
S01,2,0.006241215
S01,1,0.009783525
S01,0.5,0.015799831
S01,0.25,0.191003655
S01,0.125,0.268428451
S01,0.063,0.364970481
S01,0.047256696,0.02396214
S01,0.034866183,0.041933746
S01,0.022853437,0.035943211
S01,0.013330233,0.01198107
S01,0.001,0.029952675
S02,2,0.002242599
S02,1,0.006329114
S02,0.5,0.024020732
S02,0.25,0.240257151
S02,0.125,0.443137646
S02,0.063,0.264676567
S02,0.001,0.019336191
S03,2,0.003117805
S03,1,0.001966616
S03,0.5,0.006763239
S03,0.25,0.280602456
S03,0.125,0.28525518
S03,0.063,0.376295088
S03,0.001,0.045999616
S04,2,0.001531687
S04,1,0.006605399
S04,0.5,0.009142255
S04,0.25,0.243442466
S04,0.125,0.238416619
S04,0.063,0.398669347
S04,0.04587821,0.015328834
S04,0.033872687,0.035767279
S04,0.02164345,0.010219223
S04,0.012787948,0.020438445
S04,0.001,0.020438446
S05,2,0.002951802
S05,1,0.004317561
S05,0.5,0.021896202
S05,0.25,0.248656269
S05,0.125,0.210591242
S05,0.063,0.40267865
S05,0.061629162,0.014851128
S05,0.045183045,0.02475188
S05,0.032925011,0.02475188
S05,0.02127471,0.019801504
S05,0.012495852,0.014851128
S05,0.008895403,0.004950376
S05,0.001,0.004950376
S06,2,0.002297907
S06,1,0.004308576
S06,0.5,0.01153057
S06,0.25,0.43791547
S06,0.125,0.205826836
S06,0.063,0.328477636
S06,0.001,0.009643004
S07,2,0.010504202
S07,1,0.013343175
S07,0.5,0.023563479
S07,0.25,0.25102203
S07,0.125,0.391891892
S07,0.063,0.285941404
S07,0.001,0.023733818
S08,2,0.003589498
S08,1,0.003555312
S08,0.5,0.010118966
S08,0.25,0.484172022
S08,0.125,0.263229865
S08,0.063,0.219643101
S08,0.001,0.015691235
S09,2,0.004107788
S09,1,0.00349162
S09,0.5,0.008585278
S09,0.25,0.515239895
S09,0.125,0.267006244
S09,0.063,0.189369044
S09,0.001,0.012200131
S10,2,0.008381329
S10,1,0.007177856
S10,0.5,0.010229519
S10,0.25,0.434668615
S10,0.125,0.278217141
S10,0.063,0.232098341
S10,0.001,0.029227198
S11,2,0.003369622
S11,1,0.006480041
S11,0.5,0.0313202
S11,0.25,0.50319682
S11,0.125,0.279289787
S11,0.063,0.163037843
S11,0.001,0.013305685
S12,2,0.005978785
S12,1,0.003664417
S12,0.5,0.023577628
S12,0.25,0.516586307
S12,0.125,0.266200579
S12,0.063,0.159450338
S12,0.001,0.024541948
S13,2,0.019866207
S13,1,0.011656193
S13,0.5,0.029224948
S13,0.25,0.805459828
S13,0.125,0.048010001
S13,0.063,0.073349551
S13,0.001,0.012433273
S14,2,0.00152755
S14,1,0.000436443
S14,0.5,0.014839062
S14,0.25,0.559465357
S14,0.125,0.318385161
S14,0.063,0.09410802
S14,0.001,0.011238407
S15,2,0.004222716
S15,1,0.006094641
S15,0.5,0.020242915
S15,0.25,0.699272996
S15,0.125,0.212485308
S15,0.063,0.050585521
S15,0.001,0.007095904
S16,2,0.009181532
S16,1,0.009443861
S16,0.5,0.028419028
S16,0.25,0.739375656
S16,0.125,0.157660021
S16,0.063,0.047918853
S16,0.001,0.008001049
S17,2,0.002035106
S17,1,0.004324599
S17,0.5,0.018188756
S17,0.25,0.695370135
S17,0.125,0.228271008
S17,0.063,0.042822013
S17,0.001,0.008988383
S18,2,0.012828832
S18,1,0.003294564
S18,0.5,0.016073479
S18,0.25,0.539360056
S18,0.125,0.345180452
S18,0.063,0.07073329
S18,0.001,0.012529327
S19,2,0.010058513
S19,1,0.015764786
S19,0.5,0.038541516
S19,0.25,0.142995309
S19,0.125,0.169060399
S19,0.063,0.467479085
S19,0.061110588,0.010406693
S19,0.044364226,0.020813386
S19,0.032683371,0.031220078
S19,0.021547382,0.036423425
S19,0.012752001,0.020813386
S19,0.001,0.036423425
S20,2,0.005948153
S20,1,0.012650923
S20,0.5,0.026322798
S20,0.25,0.147150213
S20,0.125,0.386541193
S20,0.063,0.268288352
S20,0.060853921,0.021871195
S20,0.043940051,0.016403396
S20,0.032072833,0.027338994
